BLOCK,TREATMENT,SPECIES,1999_06,1999_09,2000_02,2000_06,2001_01,2001_06,2002_02,2002_06,2003_02,2003_06,2004_02,2004_06,2005_02,2005_06,2006_03,2006_06,2007_02,2007_06,2008_02,2008_06,2009_02,2009_06,2010_01,2010_06,2011_06,2012_06,2013_06,2014_06,2015_06,2016_06,2017_06,2018_06,2019_06,2020_06
NORTH,W,Bothriochloa_insculpta,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,14,20,10,20,12,8,34,6,14,22,52,0,16,58,8,72,18,22
SOUTH,W,Bothriochloa_insculpta,0,0,0,0,0,11,29,18,41,41,36,76,32,103,42,44,116,148,50,40,38,32,40,50,74,204,122,108,190,166,16,98,46,108
CENTRAL,WC,Bothriochloa_insculpta,0,0,0,0,0,2,7,4,4,4,3,21,17,35,10,20,84,52,16,18,96,8,2,118,80,210,196,110,232,250,50,134,102,152
NORTH,WC,Bothriochloa_insculpta,0,0,0,0,0,0,0,0,0,0,12,3,0,0,28,2,0,0,8,0,0,2,4,6,18,18,28,10,36,54,0,38,24,84
SOUTH,WC,Bothriochloa_insculpta,0,0,0,0,0,4,9,14,44,44,52,95,61,117,52,46,150,138,66,74,76,56,116,200,194,340,174,284,254,186,2,162,120,122
CENTRAL,C,Brachiaria_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH,C,Brachiaria_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH,C,Brachiaria_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,2,0,26,2,0,0,0,0,4,0,0,0,0,0
CENTRAL,MW,Brachiaria_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,6,0,0,6,4,0
NORTH,MW,Brachiaria_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0
SOUTH,MW,Brachiaria_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,8,0,0,0,0,0,0,0,6,0
CENTRAL,MWC,Brachiaria_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0
NORTH,MWC,Brachiaria_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0
SOUTH,MWC,Brachiaria_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,4,10,8,0,0,0,0,6,0,0,0,0,0
CENTRAL,O,Brachiaria_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH,O,Brachiaria_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH,O,Brachiaria_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0
CENTRAL,W,Brachiaria_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
NORTH,W,Brachiaria_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
SOUTH,W,Brachiaria_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,6,0,0,0,0,0,8,0,0,0,2,0
CENTRAL,WC,Brachiaria_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,2,0,0,2,0,6,0,0,0
NORTH,WC,Brachiaria_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,0,0,0,0,0,2,0,0
SOUTH,WC,Brachiaria_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,2,8,0,10,0,4,0,0,0,32,0,0,6,0,0
CENTRAL,C,Brachiaria_eruciformis,0,0,0,0,0,0,6,0,1,1,11,0,0,0,0,2,16,6,0,2,16,0,12,142,10,0,0,0,30,2,0,40,4,0
NORTH,C,Brachiaria_eruciformis,0,0,0,0,0,0,19,0,0,0,10,2,3,0,0,10,0,2,0,12,12,2,38,26,6,0,0,0,2,4,0,36,0,0
SOUTH,C,Brachiaria_eruciformis,0,0,0,0,0,0,19,0,1,1,2,1,0,1,0,0,10,0,0,0,16,6,8,52,4,0,0,0,6,0,0,6,0,0
CENTRAL,MW,Brachiaria_eruciformis,0,0,0,0,0,0,16,0,1,1,2,3,0,0,0,0,26,8,0,0,0,4,12,42,6,0,0,0,8,0,0,84,4,2
NORTH,MW,Brachiaria_eruciformis,0,0,0,0,0,0,14,0,0,0,12,0,0,0,0,0,34,4,0,2,12,0,52,114,22,8,0,0,8,0,0,126,0,0
SOUTH,MW,Brachiaria_eruciformis,0,0,0,0,0,0,12,0,0,0,6,0,0,0,0,6,8,0,0,0,10,2,20,78,8,0,2,0,14,0,2,48,0,0
CENTRAL,MWC,Brachiaria_eruciformis,0,0,0,0,0,0,16,3,0,0,7,0,1,0,0,0,20,2,0,2,0,0,36,118,20,0,0,0,14,0,0,126,16,0
NORTH,MWC,Brachiaria_eruciformis,0,0,0,0,0,0,26,1,4,4,0,5,0,1,2,10,96,18,0,16,24,2,22,178,44,6,4,0,64,0,8,144,54,0
SOUTH,MWC,Brachiaria_eruciformis,0,0,0,0,0,0,27,6,3,3,1,0,0,0,0,4,6,0,0,0,12,0,68,30,2,2,4,0,18,0,0,104,2,0
CENTRAL,O,Brachiaria_eruciformis,0,0,0,0,0,0,17,7,0,0,8,0,2,1,10,2,30,0,0,0,16,4,4,46,8,0,0,0,10,0,0,0,0,0
NORTH,O,Brachiaria_eruciformis,0,0,0,0,0,0,14,1,4,4,7,6,2,0,0,0,24,0,0,4,0,4,8,30,8,4,0,0,8,0,0,2,0,0
SOUTH,O,Brachiaria_eruciformis,0,0,0,0,0,0,19,13,0,0,15,6,4,0,0,0,40,6,0,2,32,10,4,46,6,0,0,0,0,0,2,0,0,0
CENTRAL,W,Brachiaria_eruciformis,0,0,0,0,0,0,16,8,0,0,7,2,0,0,0,0,20,26,2,4,18,8,24,156,10,0,0,0,34,0,0,22,0,0
NORTH,W,Brachiaria_eruciformis,0,0,0,0,0,0,25,0,0,0,5,0,0,0,0,0,0,16,0,2,4,2,24,108,24,0,0,0,4,0,2,28,6,0
SOUTH,W,Brachiaria_eruciformis,0,0,0,0,0,0,40,7,0,0,1,0,0,0,0,0,14,8,3,0,14,8,32,128,18,2,2,0,16,0,4,48,0,0
CENTRAL,WC,Brachiaria_eruciformis,0,0,0,0,0,2,8,0,0,0,1,0,0,0,0,2,8,2,2,2,14,2,56,100,6,0,0,0,40,4,0,28,10,0
NORTH,WC,Brachiaria_eruciformis,0,0,0,0,0,0,17,4,1,1,12,0,0,2,2,2,28,2,0,8,10,8,46,114,10,2,0,0,20,0,2,36,14,0
SOUTH,WC,Brachiaria_eruciformis,0,0,0,0,0,0,38,1,0,0,0,0,0,0,0,0,4,0,0,8,18,8,22,70,12,2,0,0,12,2,4,32,12,2
CENTRAL,C,Brachiaria_lachnantha,75,75,41,58,65,72,208,186,246,246,347,427,371,381,290,410,485,420,315,330,380,295,245,400,425,540,540,485,770,670,550,835,715,760
NORTH,C,Brachiaria_lachnantha,59,59,38,47,41,90,144,166,153,153,243,332,318,303,175,240,375,230,315,275,230,135,335,235,240,310,395,540,625,660,485,725,695,620
SOUTH,C,Brachiaria_lachnantha,77,77,63,73,50,92,151,168,192,192,279,399,366,320,185,180,345,210,150,165,280,125,130,150,450,480,360,395,780,725,400,730,690,750
CENTRAL,MW,Brachiaria_lachnantha,97,97,87,85,89,122,239,298,340,340,431,481,471,531,450,300,450,485,525,395,570,360,420,685,740,655,635,505,750,870,565,880,810,846
NORTH,MW,Brachiaria_lachnantha,106,106,55,69,62,97,234,272,212,212,325,383,368,422,285,315,560,450,315,300,535,370,305,395,515,480,685,680,705,790,475,810,725,830
SOUTH,MW,Brachiaria_lachnantha,47,47,40,19,47,77,144,148,201,201,253,292,296,246,255,260,490,240,345,365,355,330,415,320,480,350,380,465,630,490,305,715,765,616
CENTRAL,MWC,Brachiaria_lachnantha,96,96,77,65,36,98,242,207,241,241,347,449,381,399,275,310,480,335,380,250,285,185,70,205,350,240,410,420,485,605,315,635,540,630
NORTH,MWC,Brachiaria_lachnantha,84,84,44,31,32,72,151,197,181,181,219,336,222,291,185,155,215,235,250,160,160,135,115,90,55,280,180,195,315,360,120,435,340,600
SOUTH,MWC,Brachiaria_lachnantha,91,91,67,62,35,107,234,269,269,269,336,456,409,399,255,255,270,440,265,225,365,190,90,160,205,200,335,165,320,410,245,530,550,730
CENTRAL,O,Brachiaria_lachnantha,63,63,101,83,135,132,221,187,283,283,362,419,352,404,490,510,740,755,475,660,675,620,240,490,725,750,855,780,925,850,805,920,890,846
NORTH,O,Brachiaria_lachnantha,70,70,81,81,75,101,193,223,181,181,318,400,341,344,185,250,445,490,435,305,420,245,700,475,445,625,335,630,760,635,675,795,765,786
SOUTH,O,Brachiaria_lachnantha,66,66,72,29,108,130,255,260,304,304,452,499,423,441,235,315,750,630,725,600,515,505,670,620,620,785,680,720,730,870,765,890,830,730
CENTRAL,W,Brachiaria_lachnantha,72,72,67,44,37,76,211,176,259,259,351,387,410,347,235,270,365,370,305,335,505,280,250,415,495,505,510,655,620,570,395,810,735,660
NORTH,W,Brachiaria_lachnantha,86,86,76,57,68,106,256,298,310,310,465,571,499,523,505,455,520,585,550,530,435,585,375,535,730,620,635,755,815,870,540,920,765,870
SOUTH,W,Brachiaria_lachnantha,71,71,82,25,60,97,260,224,240,240,299,404,320,386,455,400,515,360,399,380,325,330,275,560,405,610,425,540,670,730,480,865,920,790
CENTRAL,WC,Brachiaria_lachnantha,45,45,22,27,40,38,112,119,169,169,264,313,264,302,145,190,335,190,215,165,200,140,105,120,165,280,255,395,500,310,95,660,535,600
NORTH,WC,Brachiaria_lachnantha,48,48,65,50,36,64,171,166,160,160,243,276,302,328,170,235,360,270,185,180,305,110,175,120,140,315,330,430,595,665,210,640,515,660
SOUTH,WC,Brachiaria_lachnantha,63,63,73,45,76,101,129,170,196,196,272,362,290,316,185,185,440,205,230,155,310,175,215,285,255,390,380,270,395,570,315,635,525,680
CENTRAL,C,Caralluma_acutangula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH,C,Caralluma_acutangula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH,C,Caralluma_acutangula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CENTRAL,MW,Caralluma_acutangula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
NORTH,MW,Caralluma_acutangula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH,MW,Caralluma_acutangula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CENTRAL,MWC,Caralluma_acutangula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH,MWC,Caralluma_acutangula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH,MWC,Caralluma_acutangula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CENTRAL,O,Caralluma_acutangula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH,O,Caralluma_acutangula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0
SOUTH,O,Caralluma_acutangula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CENTRAL,W,Caralluma_acutangula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
NORTH,W,Caralluma_acutangula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH,W,Caralluma_acutangula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CENTRAL,WC,Caralluma_acutangula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH,WC,Caralluma_acutangula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH,WC,Caralluma_acutangula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
CENTRAL,C,Chenopodium_opulifolium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH,C,Chenopodium_opulifolium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
SOUTH,C,Chenopodium_opulifolium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CENTRAL,MW,Chenopodium_opulifolium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH,MW,Chenopodium_opulifolium,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
SOUTH,MW,Chenopodium_opulifolium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CENTRAL,MWC,Chenopodium_opulifolium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH,MWC,Chenopodium_opulifolium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH,MWC,Chenopodium_opulifolium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CENTRAL,O,Chenopodium_opulifolium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH,O,Chenopodium_opulifolium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH,O,Chenopodium_opulifolium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CENTRAL,W,Chenopodium_opulifolium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH,W,Chenopodium_opulifolium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH,W,Chenopodium_opulifolium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CENTRAL,WC,Chenopodium_opulifolium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH,WC,Chenopodium_opulifolium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH,WC,Chenopodium_opulifolium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CENTRAL,C,Chenopodium_schraderianum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
NORTH,C,Chenopodium_schraderianum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH,C,Chenopodium_schraderianum,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
CENTRAL,MW,Chenopodium_schraderianum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
NORTH,MW,Chenopodium_schraderianum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH,MW,Chenopodium_schraderianum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CENTRAL,MWC,Chenopodium_schraderianum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
NORTH,MWC,Chenopodium_schraderianum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH,MWC,Chenopodium_schraderianum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
CENTRAL,O,Chenopodium_schraderianum,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH,O,Chenopodium_schraderianum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH,O,Chenopodium_schraderianum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
CENTRAL,W,Chenopodium_schraderianum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH,W,Chenopodium_schraderianum,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
SOUTH,W,Chenopodium_schraderianum,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
CENTRAL,WC,Chenopodium_schraderianum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH,WC,Chenopodium_schraderianum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH,WC,Chenopodium_schraderianum,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
CENTRAL,C,Chloris_sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH,C,Chloris_sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
SOUTH,C,Chloris_sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CENTRAL,MW,Chloris_sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH,MW,Chloris_sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH,MW,Chloris_sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CENTRAL,MWC,Chloris_sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH,MWC,Chloris_sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH,MWC,Chloris_sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
CENTRAL,O,Chloris_sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH,O,Chloris_sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH,O,Chloris_sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
CENTRAL,W,Chloris_sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH,W,Chloris_sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH,W,Chloris_sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
CENTRAL,WC,Chloris_sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH,WC,Chloris_sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH,WC,Chloris_sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0
CENTRAL,C,Commelina_spp,6,6,1,0,1,17,30,19,5,5,10,25,0,0,0,0,10,0,2,4,2,0,30,8,0,6,0,0,12,12,0,0,2,10
NORTH,C,Commelina_spp,0,0,0,0,0,16,68,51,6,6,14,19,0,6,0,2,6,2,0,6,2,4,34,32,6,8,4,2,4,10,0,2,0,10
SOUTH,C,Commelina_spp,4,4,0,0,4,6,41,12,2,2,5,5,0,6,0,12,6,4,2,0,2,4,18,16,0,10,4,4,6,0,0,2,2,10
CENTRAL,MW,Commelina_spp,0,0,0,0,3,7,16,20,7,7,9,26,3,11,0,6,6,0,2,2,18,2,22,2,18,26,0,4,26,4,0,4,4,24
NORTH,MW,Commelina_spp,0,0,1,0,0,14,33,13,5,5,7,17,3,2,0,0,4,4,0,0,4,6,30,16,6,8,0,4,4,2,0,2,6,2
SOUTH,MW,Commelina_spp,4,4,0,0,2,11,19,11,6,6,1,15,0,7,0,4,14,6,8,2,0,2,24,24,4,6,2,0,12,12,2,8,4,12
CENTRAL,MWC,Commelina_spp,2,2,0,1,0,17,23,11,2,2,6,13,1,0,2,0,8,0,4,0,2,6,34,18,4,0,2,2,6,0,0,4,10,4
NORTH,MWC,Commelina_spp,3,3,1,2,0,9,27,6,1,1,2,9,0,5,4,6,0,0,0,0,0,0,42,54,2,2,0,2,6,6,0,2,2,6
SOUTH,MWC,Commelina_spp,4,4,0,4,1,10,8,10,1,1,3,6,1,4,0,2,10,0,0,2,2,0,10,10,2,4,6,2,8,6,0,8,0,8
CENTRAL,O,Commelina_spp,4,4,1,0,3,6,35,17,6,6,9,11,3,2,4,2,8,2,4,0,2,2,8,2,0,4,2,2,8,20,2,4,2,4
NORTH,O,Commelina_spp,0,0,1,0,0,1,28,31,1,1,12,32,1,6,0,0,8,0,0,2,4,0,0,4,0,16,2,2,14,6,2,2,8,2
SOUTH,O,Commelina_spp,8,8,2,0,0,10,68,32,12,12,21,31,1,20,0,8,8,6,2,2,0,6,6,0,0,2,0,0,16,4,2,2,4,10
CENTRAL,W,Commelina_spp,1,1,1,0,1,8,58,33,5,5,3,9,2,0,0,6,2,18,2,2,0,4,16,42,4,2,0,2,12,0,0,0,2,14
NORTH,W,Commelina_spp,1,1,1,1,1,23,60,41,6,6,17,13,3,2,2,0,4,2,0,6,0,6,12,34,4,4,0,0,22,4,8,2,6,10
SOUTH,W,Commelina_spp,14,14,3,6,1,15,21,39,5,5,13,26,0,9,4,6,14,8,4,6,6,4,18,28,12,18,6,8,18,24,4,10,10,16
CENTRAL,WC,Commelina_spp,5,5,1,2,1,23,33,27,0,0,7,3,0,1,0,0,22,6,0,8,4,4,34,36,4,0,2,0,14,16,2,14,2,8
NORTH,WC,Commelina_spp,9,9,0,0,0,13,31,31,2,2,12,15,1,2,2,0,8,0,0,4,0,2,18,42,2,0,0,6,18,2,0,6,2,2
SOUTH,WC,Commelina_spp,5,5,0,1,1,14,42,13,3,3,6,5,4,4,0,10,12,4,0,4,4,0,18,38,2,6,0,0,8,6,2,18,0,18
CENTRAL,C,Commicarpus_pedunculosus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
NORTH,C,Commicarpus_pedunculosus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH,C,Commicarpus_pedunculosus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CENTRAL,MW,Commicarpus_pedunculosus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
NORTH,MW,Commicarpus_pedunculosus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
SOUTH,MW,Commicarpus_pedunculosus,0,0,0,0,0,6,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
CENTRAL,MWC,Commicarpus_pedunculosus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH,MWC,Commicarpus_pedunculosus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
